iter	MultiClass
0	1.730807094
1	1.486705621
2	1.327060173
3	1.19719764
4	1.101894879
5	1.021981579
6	0.9549652575
7	0.8986785922
8	0.8516137735
9	0.8108229657
10	0.7771163046
11	0.7456950882
12	0.7174583463
13	0.6936659412
14	0.6717913791
15	0.6536166396
16	0.6365390305
17	0.6206802546
18	0.6069927169
19	0.5923897771
20	0.5817872637
21	0.5698725186
22	0.5591858068
23	0.5503827359
24	0.5417937801
25	0.5338421346
26	0.5263692687
27	0.5193216807
28	0.5122889674
29	0.5072506192
30	0.5013648148
31	0.4966860767
32	0.4916484603
33	0.4872696145
34	0.4825355958
35	0.4806460512
36	0.4755114201
37	0.4722242868
38	0.4701798061
39	0.4671885962
40	0.4639848195
41	0.4620861593
42	0.460219859
43	0.4587337638
44	0.4565625008
45	0.4541971707
46	0.4519828219
47	0.4500766742
48	0.4486778158
49	0.4468896769
50	0.4454279843
51	0.4441459559
52	0.4427166655
53	0.4408376405
54	0.4400047088
55	0.4389479362
56	0.4372260063
57	0.4352373377
58	0.4339679905
59	0.4318862115
60	0.4306289919
61	0.4299100265
62	0.4289187715
63	0.4280124798
64	0.4270449031
65	0.4264591113
66	0.4254582699
67	0.4242542443
68	0.4233710319
69	0.4226177637
70	0.4212463117
71	0.4206369127
72	0.4200466071
73	0.4193417606
74	0.4183202152
75	0.4178652668
76	0.417044753
77	0.4159866309
78	0.415316359
79	0.414675606
80	0.4142581925
81	0.4136695761
82	0.4125580964
83	0.4116853071
84	0.4110640399
85	0.4106493286
86	0.4105174913
87	0.4098300414
88	0.4092762034
89	0.4085926213
90	0.4078735142
91	0.4072941165
92	0.4067630188
93	0.4058240523
94	0.4051793022
95	0.4049058782
96	0.403927354
97	0.4033299678
98	0.4030810107
99	0.4027612587
