iter	Passed	Remaining
0	197	19573
1	323	15835
2	455	14722
3	601	14446
4	726	13799
5	852	13348
6	975	12959
7	1097	12619
8	1231	12451
9	1364	12282
10	1492	12078
11	1616	11853
12	1737	11629
13	1865	11460
14	1998	11325
15	2117	11117
16	2243	10952
17	2363	10766
18	2491	10621
19	2627	10508
20	2763	10394
21	2886	10233
22	3005	10063
23	3131	9915
24	3251	9753
25	3376	9610
26	3499	9460
27	3648	9382
28	3770	9230
29	3895	9090
30	4022	8952
31	4151	8820
32	4292	8714
33	4426	8591
34	4549	8448
35	4700	8356
36	4830	8224
37	4990	8142
38	5168	8084
39	5306	7959
40	5457	7853
41	5608	7745
42	5755	7629
43	5900	7509
44	6051	7395
45	6196	7273
46	6347	7158
47	6485	7025
48	6644	6915
49	6815	6815
50	6982	6708
51	7141	6592
52	7281	6457
53	7429	6329
54	7580	6202
55	7741	6082
56	7880	5944
57	8020	5807
58	8167	5675
59	8319	5546
60	8476	5419
61	8635	5292
62	8784	5159
63	8968	5044
64	9104	4902
65	9263	4772
66	9410	4635
67	9557	4497
68	9684	4351
69	9834	4214
70	9970	4072
71	10125	3937
72	10275	3800
73	10411	3657
74	10549	3516
75	10703	3380
76	10839	3237
77	11000	3102
78	11152	2964
79	11306	2826
80	11467	2689
81	11616	2550
82	11755	2407
83	11901	2267
84	12035	2123
85	12192	1984
86	12349	1845
87	12499	1704
88	12646	1563
89	12786	1420
90	12908	1276
91	13051	1134
92	13204	993
93	13337	851
94	13483	709
95	13620	567
96	13755	425
97	13889	283
98	14038	141
99	14185	0
